Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-07-01T13:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-07-01T12:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-07-01T11:00:00+00:00
Algeria,Algiers,16.0,36.755798,3.039114,reference grade,2024-07-01T10:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-07-01T09:00:00+00:00
Algeria,Algiers,9.0,36.755798,3.039114,reference grade,2024-07-01T08:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-07-01T07:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-07-01T06:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-07-01T05:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-07-01T04:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-07-01T03:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-07-01T02:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-07-01T01:00:00+00:00
Algeria,Algiers,17.0,36.755798,3.039114,reference grade,2024-07-01T00:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-30T23:00:00+00:00
Algeria,Algiers,16.0,36.755798,3.039114,reference grade,2024-06-30T22:00:00+00:00
Algeria,Algiers,16.0,36.755798,3.039114,reference grade,2024-06-30T21:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-30T20:00:00+00:00
Algeria,Algiers,5.0,36.755798,3.039114,reference grade,2024-06-30T19:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-06-30T18:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-30T17:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-30T16:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-30T15:00:00+00:00
Algeria,Algiers,9.0,36.755798,3.039114,reference grade,2024-06-30T14:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-30T13:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-30T12:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-30T11:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-30T10:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-06-30T09:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-30T08:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-30T07:00:00+00:00
Algeria,Algiers,24.0,36.755798,3.039114,reference grade,2024-06-30T06:00:00+00:00
Algeria,Algiers,18.0,36.755798,3.039114,reference grade,2024-06-30T05:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-06-30T04:00:00+00:00
Algeria,Algiers,-999.0,36.755798,3.039114,reference grade,2024-06-30T03:00:00+00:00
Algeria,Algiers,23.0,36.755798,3.039114,reference grade,2024-06-30T02:00:00+00:00
Algeria,Algiers,23.0,36.755798,3.039114,reference grade,2024-06-30T01:00:00+00:00
Algeria,Algiers,26.0,36.755798,3.039114,reference grade,2024-06-30T00:00:00+00:00
Algeria,Algiers,27.0,36.755798,3.039114,reference grade,2024-06-29T23:00:00+00:00
Algeria,Algiers,25.0,36.755798,3.039114,reference grade,2024-06-29T22:00:00+00:00
Algeria,Algiers,15.0,36.755798,3.039114,reference grade,2024-06-29T21:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-29T20:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-29T19:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-06-29T18:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-29T17:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-29T16:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-29T15:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-29T14:00:00+00:00
Algeria,Algiers,27.0,36.755798,3.039114,reference grade,2024-06-29T13:00:00+00:00
Algeria,Algiers,39.0,36.755798,3.039114,reference grade,2024-06-29T12:00:00+00:00
Algeria,Algiers,15.0,36.755798,3.039114,reference grade,2024-06-29T11:00:00+00:00
